"","Date","NDVI","NIRv","smoothed_NIRv"
"1",2021-01-01,NA,NA,NA
"2",2021-01-02,NA,NA,NA
"3",2021-01-03,NA,NA,NA
"4",2021-01-04,NA,NA,NA
"5",2021-01-05,NA,NA,NA
"6",2021-01-06,NA,NA,NA
"7",2021-01-07,NA,NA,NA
"8",2021-01-08,NA,NA,NA
"9",2021-01-09,NA,NA,NA
"10",2021-01-10,0.250530285175583,0.0452416846570822,0.0452416846570822
"11",2021-01-11,0.250470809792844,0.0452770470809793,0.0452770470809793
"12",2021-01-12,0.250411474253468,0.0453124110039972,0.0453355447565978
"13",2021-01-13,0.250528293026532,0.0454116844329655,0.0453696735834859
"14",2021-01-14,0.250175849941383,0.0453688815943728,0.0454169530765039
"15",2021-01-15,0.250292671505502,0.0454681432919691,0.0454335222357928
"16",2021-01-16,0.250351617440225,0.045432776371308,0.0458470911828598
"17",2021-01-17,0.25,0.04539,0.0441748323279357
"18",2021-01-18,NA,NA,NA
"19",2021-01-19,NA,NA,NA
"20",2021-01-20,NA,NA,NA
"21",2021-01-21,NA,NA,NA
"22",2021-01-22,NA,NA,NA
"23",2021-01-23,NA,NA,NA
"24",2021-01-24,NA,NA,NA
"25",2021-01-25,NA,NA,NA
"26",2021-01-26,NA,NA,NA
"27",2021-01-27,NA,NA,NA
"28",2021-01-28,NA,NA,NA
"29",2021-01-29,NA,NA,NA
"30",2021-01-30,NA,NA,NA
"31",2021-01-31,NA,NA,NA
"32",2021-02-01,0.256054421768708,0.0406333605442177,0.0418159622196799
"33",2021-02-02,0.256054421768708,0.0406333605442177,0.0399499172141735
"34",2021-02-03,0.257687074829932,0.0410634829931973,0.0420780283531366
"35",2021-02-04,0.275918815139879,0.0455707164015359,0.0445525543666916
"36",2021-02-05,0.27710843373494,0.0459656867469879,0.0462373070715294
"37",2021-02-06,0.276398362892224,0.0459375770804911,0.0460044503246499
"38",2021-02-07,0.276190476190476,0.0460066666666667,0.0459538184968281
"39",2021-02-08,0.27529156495796,0.0459130469216165,0.045954604084638
"40",2021-02-09,0.275385865150284,0.0460133712428919,0.0462225974388767
"41",2021-02-10,0.275675675675676,0.0461794594594594,0.0455407825447948
"42",2021-02-11,0.255790533736153,0.0438421591137966,0.0448627849219957
"43",2021-02-12,0.255393878575013,0.0438835484194681,0.042514353563354
"44",2021-02-13,NA,NA,NA
"45",2021-02-14,NA,NA,NA
"46",2021-02-15,NA,NA,NA
"47",2021-02-16,NA,NA,NA
"48",2021-02-17,NA,NA,NA
"49",2021-02-18,0.241573033707865,0.039278404494382,0.0403994946694302
"50",2021-02-19,0.238888888888889,0.0389754444444444,0.0386276182206775
"51",2021-02-20,0.238095238095238,0.038844,0.0388361625142438
"52",2021-02-21,0.237449799196787,0.038811375502008,0.038828898573796
"53",2021-02-22,0.2374749498998,0.0388963126252505,0.0388891036837646
"54",2021-02-23,0.236907730673317,0.0389131172069825,0.0388795116863173
"55",2021-02-24,0.23629112662014,0.0387601994017946,0.0387985707033562
"56",2021-02-25,0.235659299726844,0.0387280337720387,0.0386975280451928
"57",2021-02-26,0.234021632251721,0.0386594296951819,0.0387022540547885
"58",2021-02-27,0.233782129742962,0.0387530966952264,0.0386878281599912
"59",2021-02-28,0.233057045343735,0.0387081267674305,0.038797409650456
"60",2021-03-01,0.23300266150496,0.0389850781514638,0.0388705432440806
"61",2021-03-02,0.232474102625873,0.0390028754516984,0.0391430605480559
"62",2021-03-03,0.233046800382044,0.0395166838586437,0.039424361704156
"63",2021-03-04,0.232779097387173,0.0396461757719715,0.0395845571147187
"64",2021-03-05,0.231969732797352,0.0395881153937101,0.0397577093977216
"65",2021-03-06,0.23249299719888,0.0402581512605042,0.0403187927548402
"66",2021-03-07,0.233240223463687,0.0405933351955307,0.0401442617576633
"67",2021-03-08,0.228350152546351,0.03882323492138,0.0391712538608244
"68",2021-03-09,0.226348983882271,0.038416608269096,0.0385616614934364
"69",2021-03-10,0.226734741239267,0.0387819921095382,0.0383464712681731
"70",2021-03-11,0.221381050699702,0.0376356356962606,0.0379859641652221
"71",2021-03-12,0.222171113155474,0.0377748647654094,0.0377432364794843
"72",2021-03-13,0.221086116791638,0.0379098395819132,0.0376663208888026
"73",2021-03-14,0.218558107800773,0.0371197170798272,0.0373959693176412
"74",2021-03-15,0.220160366552119,0.0373247056128293,0.0371712819896888
"75",2021-03-16,0.219356311344442,0.0372220707601004,0.0372882398013643
"76",2021-03-17,0.219958800640879,0.0372990203707942,0.037275487189441
"77",2021-03-18,0.219434306569343,0.0372707901459854,0.0372622215254644
"78",2021-03-19,0.219523373052246,0.0371271695692026,0.0371535407716966
"79",2021-03-20,0.219411223551058,0.0369579153633855,0.0368703862148344
"80",2021-03-21,0.218902015288395,0.0365451202223767,0.0366536854375032
"81",2021-03-22,0.217629595798127,0.0366920502397808,0.0366480729319279
"82",2021-03-23,0.218024578971325,0.0369353773327264,0.0369444582891112
"83",2021-03-24,0.218650973291082,0.0373248420099593,0.0373795960454773
"84",2021-03-25,0.21996386630533,0.0378042402890696,0.0376075894447896
"85",2021-03-26,0.219292314627,0.0376785711066036,0.0384017979063887
"86",2021-03-27,0.222397832467826,0.0385470932490404,0.0370605174645908
"87",2021-03-28,0.209519365375642,0.0335714195053663,0.034792487376156
"88",2021-03-29,0.208801498127341,0.0332565468164794,0.0330313122791399
"89",2021-03-30,0.21003717472119,0.0338616802973978,0.0337884709743436
"90",2021-03-31,0.210915818686401,0.0342737613320999,0.0341784567025323
